dt	f	t	l	d
2014061717	010	094	58	4859
2014061717	010	003	15	1539
2014061717	059	001	20	4175
2014061717	022	020	316	18996
2014061718	022	020	7	661
2014061718	001	094	46	8472
2014061718	094	061	233	6587
2014061718	013	013	22	3236
2014061718	033	059	29	5942
2014061718	026	022	24	3477
2014061719	026	022	22	3526
2014061719	094	033	78	10144
2014061719	013	001	20	3142
2014061719	003	013	23	2540
2014061719	059	059	18	951
2014061719	052	056	30	3487
2014061719	052	056	29	3432
2014061719	025	020	10	1470
2014061719	094	059	18	2950
2014061719	001	033	17	2995
2014061719	059	059	14	2607
2014061719	013	022	24	3602
2014061719	020	022	4	671
2014061719	052	052	46	7949
2014061719	009	009	22	3375
2014061719	022	022	29	1204
2014061719	052	052	44	7871
2014061719	026	020	23	2617
2014061719	056	056	3	242
2014061720	058	058	63	12311
2014061720	094	003	19	2646
2014061720	001	001	23	2568
2014061720	009	010	3	512
2014061720	003	001	4	628
2014061720	052	058	55	4081
2014061720	022	037	242	14059
2014061720	052	058	21	4114
2014061720	022	037	241	14963
2014061720	022	037	240	14347
2014061720	022	020	3	649
2014061720	052	058	14	1813
2014061720	003	009	13	1084
2014061720	020	022	12	2127
2014061720	009	013	11	1294
2014061720	094	003	27	3310
2014061720	010	026	16	2025
2014061720	001	001	10	2107
2014061720	058	052	18	2323
2014061720	025	094	23	4612
2014061720	009	011	6	855
2014061721	011	011	13	937
2014061721	052	052	16	3516
2014061721	003	033	82	12329
2014061721	020	037	46	5948
2014061721	020	001	23	4788
2014061721	001	025	29	4204
2014061721	058	058	33	1878
2014061721	011	013	5	506
2014061721	094	052	2	316
2014061721	052	033	15	3618
2014061721	013	026	6	731
2014061721	026	003	19	2235
2014061722	026	052	26	5090
2014061722	056	056	37	1194
2014061722	001	094	11	1470
2014061722	059	056	29	2348
2014061722	056	056	57	12850
2014061722	037	013	18	1592
2014061722	022	037	11	1313
2014061722	022	020	26	3254
2014061722	022	020	25	3246
2014061722	059	059	20	3714
2014061722	056	052	6	1449
2014061722	052	058	25	4261
2014061722	059	059	29	6667
2014061722	020	022	10	1907
2014061723	094	094	8	622
2014061723	026	003	24	3030
2014061723	001	009	29	2803
2014061723	001	009	29	2817
2014061801	022	037	6	1208
2014061802	056	061	7	1447
2014061802	061	056	10	1925
2014061804	037	022	4	1176
2014061804	020	009	75	567
2014061804	020	011	32	2670
2014061805	011	009	22	1255
2014061806	009	001	10	1435
2014061806	009	001	10	1435
2014061807	052	026	19	3710
2014061808	010	009	3	494
2014061809	013	009	8	1306
2014061809	058	052	6	1666
2014061809	022	026	14	2903
2014061810	026	001	21	2999
2014061810	009	026	12	1425
2014061811	001	001	106	11719
2014061811	001	001	105	11831
2014061811	001	094	11	1919
2014061811	011	009	5	847
2014061811	094	052	21	5217
2014061811	022	052	39	5356
2014061811	052	026	22	3722
2014061811	037	022	4	1186
2014061812	022	020	72	5862
2014061812	022	037	6	1255
2014061812	052	061	15	2889
2014061812	061	061	16	2527
2014061812	061	052	14	2879
2014061813	052	033	21	3624
2014061813	026	013	5	682
2014061813	052	052	117	7308
2014061813	052	052	109	6881
2014061813	052	052	21	443
2014061813	033	022	11	1225
2014061814	052	011	127	13111
2014061814	058	058	25	5778
2014061814	026	026	8	1076
2014061815	037	001	43	4422
2014061815	058	056	26	6638
2014061815	052	052	171	18982
2014061815	052	052	170	18359
2014061815	061	033	27	6516
2014061815	033	026	11	2156
2014061816	001	003	4	612
2014061816	033	026	70	2770
2014061816	033	020	83	20593
2014061816	059	009	73	10822
2014061817	033	056	38	5076
2014061817	026	020	184	2223
2014061817	037	022	4	1178
2014061818	022	033	17	2560
2014061818	056	094	15	2164
2014061818	022	020	4	663
2014061818	056	061	12	2360
2014061818	037	013	13	1543
2014061818	003	001	5	624
2014061818	010	052	51	6850
2014061818	010	052	51	6726
2014061818	010	052	50	6683
2014061818	011	011	24	786
2014061818	003	001	3	677
2014061818	013	037	26	2662
2014061818	001	052	30	5415
2014061819	056	056	3	138
2014061819	009	011	9	943
2014061819	037	020	6	714
2014061819	020	052	28	6066
2014061819	052	022	79	10154
2014061819	052	022	78	10130
2014061819	052	022	79	9956
2014061819	061	052	22	2893
2014061819	061	052	21	2893
2014061819	056	001	19	3173
2014061819	056	001	17	3163
